,T,vol_garch
0,1,0.8325436200164181
1,2,1.4707424443591903
2,3,1.6402832582513651
3,4,2.2983372078082027
4,5,1.488379482195699
5,6,2.3636353052150962
6,7,2.737723243824089
7,8,3.8467467006281963
8,9,4.621405226336738
9,10,3.9849696402485346
10,11,5.027474060210817
11,12,4.614970093505641
12,13,5.470810918593465
13,14,5.70666073430096
14,15,5.959298074349178
15,16,6.197414629542162
16,17,7.830614979527781
17,18,6.682931333188453
18,19,7.869407266912344
19,20,6.919595972420371
20,21,6.590207838053573
21,22,6.667263263973186
22,23,7.211785559373496
23,24,7.129985929256401
24,25,7.780308466239592
25,26,8.462465403532677
26,27,8.316960038993491
27,28,8.266841528117986
28,29,9.073155632992371
29,30,3.5076032282648253
30,31,9.29921665778667
31,32,8.338985419807292
32,33,10.325138572546091
33,34,10.859012261758354
34,35,10.919850281890493
35,36,11.518662862121763
36,37,11.241561751471602
37,38,12.14389379501163
38,39,12.302002948050884
39,40,12.35121154038266
40,41,12.784418512030491
41,42,13.302706876354208
42,43,13.196716005418235
43,44,12.44084430153253
44,45,8.488484211372121
45,46,8.014952925943224
46,47,9.044297480014741
47,48,9.323771272052882
48,49,9.528253824765294
49,50,9.276253482127292
50,51,10.814205351132932
51,52,9.76487130987403
52,53,9.651698140582205
53,54,9.694436513631176
54,55,9.448291809243829
55,56,10.82695753055181
56,57,12.531981646718158
57,58,12.363954117239324
58,59,12.762196228497281
59,60,12.732475868524746
60,61,12.35083969444934
61,62,12.749372582832496
